역명,주말구분,전체이용객수,피크시간대,피크시간대_이용객수,피크집중도,시간대별_평균,시간대별_표준편차,안정도
연신내,전체,25482712.0,18-19시간대,2295937.0,0.090098,1274135.600000,550423.901362,0.568002
연신내,평일,19703100.0,08-09시간대,1980585.0,0.100521,985155.000000,474860.541038,0.517984
연신내,주말,5779612.0,16-17시간대,441283.0,0.076352,288980.600000,127380.228515,0.559208
영등포구청,전체,19390838.0,08-09시간대,2623288.0,0.135285,969541.900000,630949.950879,0.349229
영등포구청,평일,16118813.0,08-09시간대,2496662.0,0.154891,805940.650000,603152.495126,0.251617
영등포구청,주말,3272025.0,17-18시간대,261819.0,0.080017,163601.250000,79904.013315,0.511593
영등포시장,전체,8565587.0,08-09시간대,996807.0,0.116373,428279.350000,252852.573432,0.409608
영등포시장,평일,6711393.0,08-09시간대,931872.0,0.138849,335569.650000,228613.082104,0.318731
영등포시장,주말,1854194.0,13-14시간대,158908.0,0.085702,92709.700000,51905.582985,0.440128
오금,전체,6853893.0,08-09시간대,870150.0,0.126957,342694.650000,200648.836757,0.414497
오금,평일,5652354.0,08-09시간대,802308.0,0.141942,282617.700000,189669.294221,0.328884
오금,주말,1201539.0,17-18시간대,90173.0,0.075048,60076.950000,26315.158680,0.561976
오목교(목동운동장앞),전체,15279654.0,18-19시간대,1632610.0,0.106849,763982.700000,396143.707609,0.481476
오목교(목동운동장앞),평일,12103535.0,18-19시간대,1409852.0,0.116483,605176.750000,344895.320144,0.430092
오목교(목동운동장앞),주말,3176119.0,17-18시간대,269536.0,0.084863,158805.950000,82410.160234,0.481064
옥수,전체,6567210.0,18-19시간대,631521.0,0.096163,328360.500000,154605.445679,0.529159
옥수,평일,5141554.0,18-19시간대,531644.0,0.103401,257077.700000,130525.302019,0.492273
옥수,주말,1425656.0,17-18시간대,119255.0,0.083649,71282.800000,35795.037548,0.497845
온수(성공회대입구),전체,6659365.0,08-09시간대,823036.0,0.123591,332968.250000,184856.197718,0.444823
온수(성공회대입구),평일,5565783.0,08-09시간대,754088.0,0.135486,278289.150000,176450.229276,0.365946
온수(성공회대입구),주말,1093582.0,16-17시간대,74193.0,0.067844,54679.100000,19705.606923,0.639614
올림픽공원(한국체대),전체,3781288.0,08-09시간대,289644.0,0.076599,189064.400000,78667.021400,0.583914
올림픽공원(한국체대),평일,2641007.0,08-09시간대,258004.0,0.097692,132050.350000,61957.974521,0.530800
올림픽공원(한국체대),주말,1140281.0,20-21시간대,102661.0,0.090031,57014.050000,33526.955906,0.411953
왕십리(성동구청),전체,14481708.0,18-19시간대,1506022.0,0.103995,724085.400000,332938.663766,0.540194
왕십리(성동구청),평일,11159709.0,18-19시간대,1256674.0,0.112608,557985.450000,280566.889972,0.497179
왕십리(성동구청),주말,3321999.0,17-18시간대,275454.0,0.082918,166099.950000,80254.339730,0.516831
용답,전체,2222688.0,08-09시간대,216202.0,0.097271,111134.400000,48941.333237,0.559620
용답,평일,1751248.0,08-09시간대,195457.0,0.111610,87562.400000,43232.128338,0.506271
